antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'42808'}),frozenset({'49032'}),0.18656375361803687,1.0,0.18656375361803687,1.0,1.0,0.0,inf,0.0
frozenset({'49032'}),frozenset({'42808'}),1.0,0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,0.0,1.0,0.0
frozenset({'32702'}),frozenset({'49032'}),0.12667783814891925,1.0,0.12667783814891925,1.0,1.0,0.0,inf,0.0
frozenset({'49032'}),frozenset({'32702'}),1.0,0.12667783814891925,0.12667783814891925,0.12667783814891925,1.0,0.0,1.0,0.0
frozenset({'42709'}),frozenset({'49032'}),0.12667783814891925,1.0,0.12667783814891925,1.0,1.0,0.0,inf,0.0
frozenset({'49032'}),frozenset({'42709'}),1.0,0.12667783814891925,0.12667783814891925,0.12667783814891925,1.0,0.0,1.0,0.0
frozenset({'33807'}),frozenset({'49032'}),0.18217979315831345,1.0,0.18217979315831345,1.0,1.0,0.0,inf,0.0
frozenset({'49032'}),frozenset({'33807'}),1.0,0.18217979315831345,0.18217979315831345,0.18217979315831345,1.0,0.0,1.0,0.0
frozenset({'43807'}),frozenset({'49032'}),0.1821967196465749,1.0,0.1821967196465749,1.0,1.0,0.0,inf,0.0
frozenset({'49032'}),frozenset({'43807'}),1.0,0.1821967196465749,0.1821967196465749,0.1821967196465749,1.0,0.0,1.0,0.0
frozenset({'49032'}),frozenset({'43808'}),1.0,0.1821967196465749,0.1821967196465749,0.1821967196465749,1.0,0.0,1.0,0.0
frozenset({'43808'}),frozenset({'49032'}),0.1821967196465749,1.0,0.1821967196465749,1.0,1.0,0.0,inf,0.0
frozenset({'49032'}),frozenset({'32604'}),1.0,0.2749877282960104,0.2749877282960104,0.2749877282960104,1.0,0.0,1.0,0.0
frozenset({'32604'}),frozenset({'49032'}),0.2749877282960104,1.0,0.2749877282960104,1.0,1.0,0.0,inf,0.0
frozenset({'42607'}),frozenset({'49032'}),0.2749877282960104,1.0,0.2749877282960104,1.0,1.0,0.0,inf,0.0
frozenset({'49032'}),frozenset({'42607'}),1.0,0.2749877282960104,0.2749877282960104,0.2749877282960104,1.0,0.0,1.0,0.0
frozenset({'42608'}),frozenset({'49032'}),0.2749877282960104,1.0,0.2749877282960104,1.0,1.0,0.0,inf,0.0
frozenset({'49032'}),frozenset({'42608'}),1.0,0.2749877282960104,0.2749877282960104,0.2749877282960104,1.0,0.0,1.0,0.0
frozenset({'49032'}),frozenset({'32307'}),1.0,0.2530002200443474,0.2530002200443474,0.2530002200443474,1.0,0.0,1.0,0.0
frozenset({'32307'}),frozenset({'49032'}),0.2530002200443474,1.0,0.2530002200443474,1.0,1.0,0.0,inf,0.0
frozenset({'49032'}),frozenset({'42307'}),1.0,0.2530002200443474,0.2530002200443474,0.2530002200443474,1.0,0.0,1.0,0.0
frozenset({'42307'}),frozenset({'49032'}),0.2530002200443474,1.0,0.2530002200443474,1.0,1.0,0.0,inf,0.0
frozenset({'49032'}),frozenset({'42308'}),1.0,0.2530002200443474,0.2530002200443474,0.2530002200443474,1.0,0.0,1.0,0.0
frozenset({'42308'}),frozenset({'49032'}),0.2530002200443474,1.0,0.2530002200443474,1.0,1.0,0.0,inf,0.0
frozenset({'31602'}),frozenset({'41607'}),0.33917297178354405,0.33917297178354405,0.33917297178354405,1.0,2.9483481385367805,0.2241346669950633,inf,1.0000000000000002
frozenset({'41607'}),frozenset({'31602'}),0.33917297178354405,0.33917297178354405,0.33917297178354405,1.0,2.9483481385367805,0.2241346669950633,inf,1.0000000000000002
frozenset({'31602'}),frozenset({'41608'}),0.33917297178354405,0.33917297178354405,0.33917297178354405,1.0,2.9483481385367805,0.2241346669950633,inf,1.0000000000000002
frozenset({'41608'}),frozenset({'31602'}),0.33917297178354405,0.33917297178354405,0.33917297178354405,1.0,2.9483481385367805,0.2241346669950633,inf,1.0000000000000002
frozenset({'42807'}),frozenset({'32805'}),0.18656375361803687,0.18656375361803687,0.18656375361803687,1.0,5.3600979858464886,0.1517577194539853,inf,1.0
